session_id,timestamp,pref,artid,target
c60b7051-23e3-4907-bde8-95a4936899f9,2018-02-10T19:47:34Z,y,9688,False
c60b7051-23e3-4907-bde8-95a4936899f9,2018-02-10T20:15:44Z,y,420,False
c60b7051-23e3-4907-bde8-95a4936899f9,2018-02-10T20:18:32Z,y,44,False
c60b7051-23e3-4907-bde8-95a4936899f9,2018-02-10T20:20:43Z,y,427,False
668e5947-0ff1-4fcb-8412-9f3207dce2fd,2017-11-25T00:53:03Z,y,33040,False
668e5947-0ff1-4fcb-8412-9f3207dce2fd,2017-11-25T01:10:23Z,y,111675,False
7c0161ef-95d5-4877-a9b6-fb6b35afccb6,2017-11-19T19:01:12Z,y,136,False
8d461292-c34b-4664-a32f-e84c47dc5fcd,2018-03-17T18:59:19Z,y,1375,False
8d461292-c34b-4664-a32f-e84c47dc5fcd,2018-03-17T19:09:47Z,y,9688,False
8d461292-c34b-4664-a32f-e84c47dc5fcd,2018-03-17T19:15:00Z,y,1375,False
8d461292-c34b-4664-a32f-e84c47dc5fcd,2018-03-17T19:39:17Z,y,9688,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:12:26Z,y,518,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:15:22Z,y,113688,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:21:22Z,n,1274,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:22:09Z,n,1721,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:22:56Z,y,115752,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:26:54Z,n,136,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:32:08Z,y,98750,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:35:36Z,n,427,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:43:54Z,y,22277,False
4f4d12a6-ce7b-47d8-b713-b0dbf7d33e15,2017-11-11T17:49:02Z,y,1375,True
f8dac347-7a9c-4a2b-9bd6-5eba81168f67,2017-11-05T17:30:12Z,y,518,False
a3444875-6380-4135-98f8-b1a8fc055b23,2018-03-10T19:14:00Z,y,9688,False
a3444875-6380-4135-98f8-b1a8fc055b23,2018-03-10T19:17:56Z,y,1330,False
a3444875-6380-4135-98f8-b1a8fc055b23,2018-03-10T19:19:28Z,y,10219,False
a3444875-6380-4135-98f8-b1a8fc055b23,2018-03-10T19:32:03Z,y,120525,False
b738b6ee-f091-4c98-b06a-4358709e29c3,2017-12-03T17:43:07Z,y,518,False
b738b6ee-f091-4c98-b06a-4358709e29c3,2017-12-03T17:46:15Z,y,113688,False
b738b6ee-f091-4c98-b06a-4358709e29c3,2017-12-03T17:59:13Z,y,518,False
b738b6ee-f091-4c98-b06a-4358709e29c3,2017-12-03T18:02:15Z,y,120500,False
b738b6ee-f091-4c98-b06a-4358709e29c3,2017-12-03T18:03:08Z,y,13190,False
f206a2b7-92f5-4fdc-ae64-446c8cf4f7ae,2017-11-11T16:34:24Z,n,518,False
51ecf3e8-5c9b-4173-90f5-c062d27dc95b,2018-02-24T20:13:43Z,y,518,False
51ecf3e8-5c9b-4173-90f5-c062d27dc95b,2018-02-24T20:16:48Z,n,613,False
51ecf3e8-5c9b-4173-90f5-c062d27dc95b,2018-02-24T20:30:46Z,n,518,False
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:17:11Z,y,613,False
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:23:54Z,y,9688,False
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:30:22Z,y,1727,False
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:30:28Z,y,1727,False
